sortId,icache/dcache,program,size,simSeconds
1,i8k-d32k,bfs,'64',0.001093
2,i16k-d32k,bfs,'64',0.001091
3,i16k-d64k,bfs,'64',0.001050
4,i16k-d128k,bfs,'64',0.000932
5,i32k-d32k,bfs,'64',0.001089
6,i32k-d64k,bfs,'64',0.001049
1,i8k-d32k,bfs,'128',0.003941
2,i16k-d32k,bfs,'128',0.003935
3,i16k-d64k,bfs,'128',0.003896
4,i16k-d128k,bfs,'128',0.003824
5,i32k-d32k,bfs,'128',0.003934
6,i32k-d64k,bfs,'128',0.003894
1,i8k-d32k,bfs,'256',0.016722
2,i16k-d32k,bfs,'256',0.016709
3,i16k-d64k,bfs,'256',0.016666
4,i16k-d128k,bfs,'256',0.016595
5,i32k-d32k,bfs,'256',0.016708
6,i32k-d64k,bfs,'256',0.016664
1,i8k-d32k,bfs,'512',0.062884
2,i16k-d32k,bfs,'512',0.062749
3,i16k-d64k,bfs,'512',0.062641
4,i16k-d128k,bfs,'512',0.062527
5,i32k-d32k,bfs,'512',0.062796
6,i32k-d64k,bfs,'512',0.062650
