sortId,icache/dcache,program,size,simSeconds
1,i8k-d32k,ll,1k,0.000325
2,i16k-d32k,ll,1k,0.000183
3,i16k-d64k,ll,1k,0.000181
4,i16k-d128k,ll,1k,0.000181
5,i32k-d32k,ll,1k,0.000183
6,i32k-d64k,ll,1k,0.000180
1,i8k-d32k,ll,10k,0.003522
2,i16k-d32k,ll,10k,0.002056
3,i16k-d64k,ll,10k,0.002050
4,i16k-d128k,ll,10k,0.002054
5,i32k-d32k,ll,10k,0.002055
6,i32k-d64k,ll,10k,0.002048
1,i8k-d32k,ll,100k,0.035072
2,i16k-d32k,ll,100k,0.020303
3,i16k-d64k,ll,100k,0.020240
4,i16k-d128k,ll,100k,0.020315
5,i32k-d32k,ll,100k,0.020303
6,i32k-d64k,ll,100k,0.020239
1,i8k-d32k,ll,300k,0.105177
2,i16k-d32k,ll,300k,0.060852
3,i16k-d64k,ll,300k,0.060672
4,i16k-d128k,ll,300k,0.060941
5,i32k-d32k,ll,300k,0.060852
6,i32k-d64k,ll,300k,0.060672
