sortId,icache/dcache,program,size,simSeconds
1,i8k-d32k,mxm,32x32,0.000891
2,i16k-d32k,mxm,32x32,0.000889
3,i16k-d64k,mxm,32x32,0.000886
4,i16k-d128k,mxm,32x32,0.000886
5,i32k-d32k,mxm,32x32,0.000888
6,i32k-d64k,mxm,32x32,0.000886
1,i8k-d32k,mxm,64x64,0.011844
2,i16k-d32k,mxm,64x64,0.011833
3,i16k-d64k,mxm,64x64,0.006880
4,i16k-d128k,mxm,64x64,0.006669
5,i32k-d32k,mxm,64x64,0.011833
6,i32k-d64k,mxm,64x64,0.006880
1,i8k-d32k,mxm,128x128,0.155657
2,i16k-d32k,mxm,128x128,0.155657
3,i16k-d64k,mxm,128x128,0.155550
4,i16k-d128k,mxm,128x128,0.066147
5,i32k-d32k,mxm,128x128,0.155659
6,i32k-d64k,mxm,128x128,0.155550
1,i8k-d32k,mxm,256x256,1.292543
2,i16k-d32k,mxm,256x256,1.292538
3,i16k-d64k,mxm,256x256,1.292340
4,i16k-d128k,mxm,256x256,1.291964
5,i32k-d32k,mxm,256x256,1.292538
6,i32k-d64k,mxm,256x256,1.292340
