sortId,icache/dcache,program,size,simSeconds
1,i8k-d32k,mxm,32x32,0.000891
2,i16k-d32k,mxm,32x32,0.000889
3,i16k-d64k,mxm,32x32,0.000886
4,i16k-d128k,mxm,32x32,0.000886
5,i32k-d32k,mxm,32x32,0.000888
6,i32k-d64k,mxm,32x32,0.000886
1,i8k-d32k,mxm,64x64,0.011844
2,i16k-d32k,mxm,64x64,0.011833
3,i16k-d64k,mxm,64x64,0.006880
4,i16k-d128k,mxm,64x64,0.006669
5,i32k-d32k,mxm,64x64,0.011833
6,i32k-d64k,mxm,64x64,0.006880
1,i8k-d32k,mxm,128x128,0.155657
2,i16k-d32k,mxm,128x128,0.155657
3,i16k-d64k,mxm,128x128,0.155550
4,i16k-d128k,mxm,128x128,0.066147
5,i32k-d32k,mxm,128x128,0.155659
6,i32k-d64k,mxm,128x128,0.155550
1,i8k-d32k,mxm,256x256,1.292543
2,i16k-d32k,mxm,256x256,1.292538
3,i16k-d64k,mxm,256x256,1.292340
4,i16k-d128k,mxm,256x256,1.291964
5,i32k-d32k,mxm,256x256,1.292538
6,i32k-d64k,mxm,256x256,1.292340
1,i8k-d32k,ll,1k,0.000325
2,i16k-d32k,ll,1k,0.000183
3,i16k-d64k,ll,1k,0.000181
4,i16k-d128k,ll,1k,0.000181
5,i32k-d32k,ll,1k,0.000183
6,i32k-d64k,ll,1k,0.000180
1,i8k-d32k,ll,10k,0.003522
2,i16k-d32k,ll,10k,0.002056
3,i16k-d64k,ll,10k,0.002050
4,i16k-d128k,ll,10k,0.002054
5,i32k-d32k,ll,10k,0.002055
6,i32k-d64k,ll,10k,0.002048
1,i8k-d32k,ll,100k,0.035072
2,i16k-d32k,ll,100k,0.020303
3,i16k-d64k,ll,100k,0.020240
4,i16k-d128k,ll,100k,0.020315
5,i32k-d32k,ll,100k,0.020303
6,i32k-d64k,ll,100k,0.020239
1,i8k-d32k,ll,300k,0.105177
2,i16k-d32k,ll,300k,0.060852
3,i16k-d64k,ll,300k,0.060672
4,i16k-d128k,ll,300k,0.060941
5,i32k-d32k,ll,300k,0.060852
6,i32k-d64k,ll,300k,0.060672
1,i8k-d32k,bfs,64,0.001093
2,i16k-d32k,bfs,64,0.001091
3,i16k-d64k,bfs,64,0.001050
4,i16k-d128k,bfs,64,0.000932
5,i32k-d32k,bfs,64,0.001089
6,i32k-d64k,bfs,64,0.001049
1,i8k-d32k,bfs,128,0.003941
2,i16k-d32k,bfs,128,0.003935
3,i16k-d64k,bfs,128,0.003896
4,i16k-d128k,bfs,128,0.003824
5,i32k-d32k,bfs,128,0.003934
6,i32k-d64k,bfs,128,0.003894
1,i8k-d32k,bfs,256,0.016722
2,i16k-d32k,bfs,256,0.016709
3,i16k-d64k,bfs,256,0.016666
4,i16k-d128k,bfs,256,0.016595
5,i32k-d32k,bfs,256,0.016708
6,i32k-d64k,bfs,256,0.016664
1,i8k-d32k,bfs,512,0.062884
2,i16k-d32k,bfs,512,0.062749
3,i16k-d64k,bfs,512,0.062641
4,i16k-d128k,bfs,512,0.062527
5,i32k-d32k,bfs,512,0.062796
6,i32k-d64k,bfs,512,0.062650
